2,2474, Note_on_c,0,64,42,
2,2474, Control_c,0,64,0,
2,2554, Note_off_c,0,64,0,
2,2560, Note_on_c,0,57,39,
2,2560, Control_c,0,64,127,
2,2560, Note_on_c,0,30,30,
2,2560, Note_on_c,0,42,30,
2,2569, Note_off_c,0,33,0,
2,2569, Note_off_c,0,45,0,
2,2645, Note_off_c,0,57,0,
2,2645, Note_on_c,0,62,45,
2,2730, Note_off_c,0,62,0,
2,2730, Note_on_c,0,66,43,
2,2816, Note_off_c,0,66,0,
2,2816, Note_on_c,0,57,39,
2,2901, Note_off_c,0,57,0,
2,2901, Note_on_c,0,62,42,
2,2986, Note_off_c,0,62,0,
2,2986, Note_on_c,0,66,44,
2,2986, Control_c,0,64,0,
2,3066, Note_off_c,0,66,0,
2,3072, Note_on_c,0,56,38,
2,3072, Control_c,0,64,127,
2,3072, Note_on_c,0,32,30,
2,3072, Note_on_c,0,44,30,
2,3081, Note_off_c,0,30,0,
2,3081, Note_off_c,0,42,0,
2,3157, Note_off_c,0,56,0,
2,3157, Note_on_c,0,60,42,
2,3242, Note_off_c,0,60,0,
2,3242, Note_on_c,0,66,45,
2,3242, Control_c,0,64,0,
2,3328, Note_off_c,0,66,0,
2,3328, Note_on_c,0,56,38,
2,3328, Control_c,0,64,127,
2,3413, Note_off_c,0,56,0,
2,3413, Note_on_c,0,61,41,
2,3498, Note_off_c,0,61,0,
2,3498, Note_on_c,0,64,42,
2,3498, Control_c,0,64,0,
2,3583, Note_off_c,0,32,0,
2,3583, Note_off_c,0,44,0,
2,3584, Note_off_c,0,64,0,
2,3584, Note_on_c,0,56,38,
2,3584, Control_c,0,64,127,
2,3584, Note_on_c,0,32,30,
2,3584, Note_on_c,0,44,30,
2,3669, Note_off_c,0,56,0,
2,3669, Note_on_c,0,61,41,
2,3754, Note_off_c,0,61,0,
2,3754, Note_on_c,0,63,43,
2,3754, Control_c,0,64,0,
2,3840, Note_off_c,0,63,0,
2,3840, Note_on_c,0,54,41,
2,3840, Control_c,0,64,127,
